,TSLA_Forecast,lower,upper
2025-07-31,319.03915348228225,305.5008929691944,332.5774139953701
2025-08-01,319.0204441795968,300.0162558238522,338.02463253534137
2025-08-04,319.0204441795968,295.74003620790484,342.3008521512887
2025-08-05,319.0204441795968,292.1355856976145,345.90530266157907
2025-08-06,319.0204441795968,288.9602739228598,349.08061443633375
2025-08-07,319.0204441795968,286.08972818173527,351.9511601774583
2025-08-08,319.0204441795968,283.4500874706796,354.59080088851397
2025-08-11,319.0204441795968,280.99323685816165,357.0476515010319
2025-08-12,319.0204441795968,278.6857603834492,359.3551279757444
2025-08-13,319.0204441795968,276.50333071686265,361.5375576423309
2025-08-14,319.0204441795968,274.42758424136446,363.6133041178291
2025-08-15,319.0204441795968,272.44425522280676,365.5966331363868
2025-08-18,319.0204441795968,270.5419995056347,367.49888885355887
2025-08-19,319.0204441795968,268.7116197223089,369.32926863688465
2025-08-20,319.0204441795968,266.9455362244021,371.0953521347915
2025-08-21,319.0204441795968,265.23741471109435,372.8034736480992
2025-08-22,319.0204441795968,263.5818973094127,374.4589910497809
2025-08-25,319.0204441795968,261.97440400724656,376.066484351947
2025-08-26,319.0204441795968,260.410983171896,377.62990518729754
2025-08-27,319.0204441795968,258.88819709135805,379.1526912678355
2025-08-28,319.0204441795968,257.40303300265106,380.6378553565425
2025-08-29,319.0204441795968,255.9528329959108,382.08805536328276
2025-09-01,319.0204441795968,254.53523811894758,383.505650240246
2025-09-02,319.0204441795968,253.14814331685028,384.8927450423433
2025-09-03,319.0204441795968,251.78966074507187,386.2512276141217
2025-09-04,319.0204441795968,250.45808962924758,387.582798729946
2025-09-05,319.0204441795968,249.1518912980923,388.88899706110124
2025-09-08,319.0204441795968,247.86966834388724,390.1712200153063
2025-09-09,319.0204441795968,246.6101471059679,391.4307412532256
2025-09-10,319.0204441795968,245.37216285165957,392.66872550753396
2025-09-11,319.0204441795968,244.15464716369115,393.8862411955024
2025-09-12,319.0204441795968,242.95661714535805,395.0842712138355
2025-09-15,319.0204441795968,241.77716613313902,396.26372222605454
2025-09-16,319.0204441795968,240.61545566719292,397.42543269200064
2025-09-17,319.0204441795968,239.47070851757223,398.5701798416213
2025-09-18,319.0204441795968,238.34220260130147,399.6986857578921
2025-09-19,319.0204441795968,237.2292656550543,400.81162270413927
2025-09-22,319.0204441795968,236.13127055178592,401.90961780740764
2025-09-23,319.0204441795968,235.04763116866343,402.99325719053013
2025-09-24,319.0204441795968,233.97779872899372,404.06308963019984
2025-09-25,319.0204441795968,232.9212585533391,405.11962980585446
2025-09-26,319.0204441795968,231.87752716523138,406.16336119396215
2025-09-29,319.0204441795968,230.84614970529788,407.1947386538957
2025-09-30,319.0204441795968,229.82669761455907,408.2141907446345
2025-10-01,319.0204441795968,228.81876655342415,409.2221218057694
2025-10-02,319.0204441795968,227.82197452772283,410.21891383147073
2025-10-03,319.0204441795968,226.8359601971414,411.20492816205217
2025-10-06,319.0204441795968,225.860381344821,412.18050701437255
2025-10-07,319.0204441795968,224.89491348974002,413.14597486945354
2025-10-08,319.0204441795968,223.9392486259282,414.10163973326536
2025-10-09,319.0204441795968,222.9930940746253,415.0477942845682
2025-10-10,319.0204441795968,222.0561714372585,415.98471692193505
2025-10-13,319.0204441795968,221.12821563862235,416.9126727205712
2025-10-14,319.0204441795968,220.20897405094135,417.8319143082522
2025-10-15,319.0204441795968,219.29820569061195,418.7426826685816
2025-10-16,319.0204441795968,218.39568048038723,419.64520787880633
2025-10-17,319.0204441795968,217.50117857060235,420.5397097885912
2025-10-20,319.0204441795968,216.6144897137682,421.42639864542537
2025-10-21,319.0204441795968,215.7354126874916,422.30547567170197
2025-10-22,319.0204441795968,214.86375476123555,423.177133597958
2025-10-23,319.0204441795968,213.99933120291593,424.04155715627763
2025-10-24,319.0204441795968,213.14196482175674,424.8989235374368
2025-10-27,319.0204441795968,212.29148554419945,425.74940281499414
2025-10-28,319.0204441795968,211.44773001999144,426.5931583392021
2025-10-29,319.0204441795968,210.61054125586958,427.430347103324
2025-10-30,319.0204441795968,209.7797682745121,428.26112008468147
2025-10-31,319.0204441795968,208.95526579666063,429.08562256253293
2025-11-03,319.0204441795968,208.13689394451748,429.90399441467605
